"RERO13S47","RERO19S47","RERO25S47","RERO12S47","RERO18S47","RERO24S47","RERO14S47","RERO20S47","RERO26S47","wustlid","xgrouprr","RERO6S47","PARTYID1S46","RERO9S47","RERO15S47","RERO21S47","RERO10S47","RERO16S47","RERO22S47","ppgender","ppethm","ppeducat","PARTYID2S46","PARTYID3S46","IDEOL1S46","POLKNOW1S30","POLKNOW2S30","POLKNOW3S30","POLKNOW5S30","POLKNOW6S30","POLKNOW7S30","POLKNOW12S30","POLKNOW13S30","POLKNOW17S30","POLKNOW18S30","POLKNOW21S30","POLKNOW22S30","POLKNOW23S30","POLKNOW24S30","POLKNOW25S30","ATTS7S27","IDEFS48","RERO7S47","ppagect4","oct2015wt1","income6","treatment","treatment2","pid3","pot.handling.binary","tax.handling.binary","defense.handling.binary","pot.handling","tax.handling","defense.handling","pot.candidate.binary","tax.candidate.binary","defense.candidate.binary","pot.candidate","tax.candidate","defense.candidate","pot.rol","tax.rol","defense.rol","pot.rol.binary","tax.rol.binary","defense.rol.binary","pot.leadership","tax.leadership","defense.leadership","pot.leadership.binary","tax.leadership.binary","defense.leadership.binary","pot.gtd","tax.gtd","defense.gtd","pot.gtd.binary","tax.gtd.binary","defense.gtd.binary","female","other","black","hispanic","college","age","pid7","pid7.rev","ideology7","ideology7.rev","correct1","correct2","correct3","correct5","correct6","correct7","correct8","correct9","correct10","correct11","correct12","correct13","correct14","correct15","correct16","sum.correct","pot.attitudes","defense.attitudes","tax.attitudes"
,,,,,,,,,989870,,,,,,,,,,2,"Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"30-44",,"Under $10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,"30-44",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,989871,,,,,,,,,,1,"Black, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,,,"45-59",,"$50,000-$79,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,"45-59",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,989872,,,,,,,,,,2,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,,,"45-59",,"$100,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,"45-59",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,989873,,,,,,,,,,1,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,,,"45-59",,"$100,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,"45-59",,,,,,,,,,,,,,,,,,,,,,,
"quite well","not too well","not too well","quite well","not too well","not too well","quite well","not too well","not too well",989874,"6","Disagree",,"approve","disapprove","neither approve nor disapprove","somewhat likely","very unlikely","somewhat unlikely",2,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,,"Strongly agree","45-59",0.66,"$100,000 or more","bilateral",0,,1,0,,4,2,3,1,0,0,3,1,2,3,2,2,1,0,0,3,2,2,1,0,0,3,2,2,1,0,0,1,0,0,0,1,"45-59",,,,,,,,,,,,,,,,,,,,,,,-2
"not too well","quite well","quite well","quite well","quite well","quite well","quite well","quite well","quite well",989875,"1","Neither Agree nor Disagree","Independent","disapprove","neither approve nor disapprove","neither approve nor disapprove","somewhat unlikely","somewhat likely","somewhat unlikely",2,"White, Non-Hispanic","Bachelor's degree or higher",,"Republican Party","Moderate","Republicans","a two-thirds majority of both houses of Congress","Don't know","Don't know","Don't know","two terms","life terms","Antoni Scalia","the benefit program for senior citizens","aid to foreign countries","a federation","conservatives","President","Democrat","Don't know","strongly disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","18-29",2.08,"$30,000-$49,999","control",,"ind",0,,,2,3,3,0,1,0,2,3,2,2,3,3,0,1,1,3,3,3,1,1,1,3,3,3,1,1,1,1,0,0,0,1,"18-29",-1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,-0.705555555555556,-2,0,0
"quite well","quite well","quite well","quite well","quite well","quite well","quite well","quite well","quite well",989876,"3","Neither Agree nor Disagree","Independent","approve","strongly disapprove","neither approve nor disapprove","somewhat likely","very unlikely","somewhat unlikely",2,"White, Non-Hispanic","Some college",,"Democratic Party","Moderate","Republicans","Don't know","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","is headed by the Secretary of the Treasury","agree","Disagree","Agree","60+",2.93,"$100,000 or more","unilateral",1,"ind",1,0,,4,1,3,1,0,0,3,1,2,3,3,3,1,1,1,3,3,3,1,1,1,3,3,3,1,1,1,1,0,0,0,0,"60+",1,-1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,3.29444444444444,1,-1,-1
"quite well","not too well","quite well","quite well","not too well","quite well","quite well","not too well","quite well",989877,"1","Neither Agree nor Disagree","Republican","approve","strongly disapprove","neither approve nor disapprove","somewhat likely","very unlikely","somewhat likely",2,"White, Non-Hispanic","High school","Not Very Strong",,"Moderate","Don't know","Don't know","six years","a filibuster","Joseph Biden","two terms","Don't know","Don't know","the benefit program for senior citizens","aid to foreign countries","Don't know","conservatives","President","Democrat","Don't know","strongly agree","Neither Agree nor Disagree","Agree","45-59",1.35,"$10,000-$29,999","control",,"gop",1,0,,4,1,3,1,0,1,3,1,3,3,2,3,1,0,1,3,2,3,1,0,1,3,2,3,1,0,1,1,0,0,0,0,"45-59",-2,2,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,-1.70555555555556,2,0,-1
"Refused","Refused","Refused","Refused","Refused","Refused","Refused","Refused","Refused",989878,"5","Disagree","Independent","disapprove","neither approve nor disapprove","approve","very unlikely","very unlikely","somewhat likely",1,"White, Non-Hispanic","High school",,"Republican Party","Conservative","Republicans","a two-thirds majority of both houses of Congress","Don't know","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","aid to foreign countries","Don't know","conservatives","President","Democrat","Don't know","strongly disagree","Agree","Neither Agree nor Disagree","45-59",1.17,"$50,000-$79,999","bilateral",0,"ind",0,,1,2,3,4,0,0,1,1,1,3,,,,,,,,,,,,,,,,,,,0,0,0,0,0,"45-59",-1,1,-2,2,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1.29444444444444,-2,1,0
,,,,,,,,,989879,,,,,,,,,,2,"White, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"30-44",,"$10,000-$29,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,"30-44",,,,,,,,,,,,,,,,,,,,,,,
